PATRON SABADO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6h floor + 2h AOR/LDOPS por persona. 4 Leads + 9 Managers = 13 personas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;07:00;07:30;08:00;08:30;09:00;09:15;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00
Opening Hours;;;;;;;;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;OPEN;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Role;Shift;07:00;07:30;08:00;08:30;09:00;09:15;09:30;10:00;10:30;11:00;11:30;12:00;12:30;13:00;13:30;14:00;14:30;15:00;15:30;16:00;16:30;17:00;17:30;18:00;18:30;19:00;19:30;20:00;20:30;21:00;21:30;22:00
Lead;07:00-16:00;LDOPS;LDOPS;LDOPS;LDSup;LDOPS;DD;LDSup;LDSup;LDSup;Lunch;Lunch;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;;;;;;;;;;;;;
Lead;08:00-17:00;;;LDOPS;LDOPS;LDOPS;DD;LDSup;LDSup;LDSup;LDSup;LDSup;Lunch;Lunch;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDOPS;;;;;;;;;;;
Lead;13:00-22:00;;;;;;;;;;;;;;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;Lunch;Lunch;LDSup;LDSup;LDOPS;LDOPS;LDOPS;LDOPS;
Lead;13:00-22:00;;;;;;;;;;;;;;LDOPS;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;LDSup;Lunch;Lunch;LDSup;LDOPS;LDOPS;LDOPS;
Manager;08:00-17:00;;;AOR;AOR;AOR;DD;Coach;Coach;Coach;Coach;Coach;Lunch;Lunch;Coach;Coach;Coach;Coach;Coach;Coach;Coach;AOR;;;;;;;;;;;
Manager;08:00-17:00;;;AOR;AOR;AOR;DD;Support;Support;Support;Support;Support;Lunch;Lunch;Support;Support;Support;Support;Support;Support;Support;AOR;;;;;;;;;;;
Manager;09:00-18:00;;;;;AOR;DD;Coach;Coach;Coach;Coach;Coach;Coach;Coach;Lunch;Lunch;Coach;Coach;Coach;Coach;Coach;AOR;AOR;AOR;;;;;;;;;
Manager;10:00-19:00;;;;;;;;Support;Support;Support;Support;Lunch;Lunch;Support;Support;Support;Support;Support;Support;Support;Support;AOR;AOR;AOR;AOR;;;;;;;
Manager;10:00-19:00;;;;;;;;AOR;AOR;AOR;AOR;Lunch;Lunch;Coach;Coach;Coach;Coach;Coach;Coach;Coach;Coach;Coach;Coach;Coach;Coach;;;;;;;
